,FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
73,mw48959.txt,http://www.citricadvertising.com,31,www.citricadvertising.com,25,0,com,74.74747475,1.0,0.5229071,0.061150205,3,1,0,0,0.0,19,0.613,0,0.0,0,0,0,1,0.032,0,9,84,1,citricadvertising,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
74,884068.txt,https://www.recallslist.com,26,www.recallslist.com,19,0,com,100.0,1.0,0.5229071,0.06456867,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,563,537,1,recallslist,100.0,100.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,43,2,5,77,0,81,1
75,518135.txt,https://www.greenlakejewelry.com,31,www.greenlakejewelry.com,24,0,com,100.0,1.0,0.5229071,0.058129704,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1543,609,1,greenlakejewelry,100.0,100.0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,86,4,7,150,0,37,1
76,450733.txt,https://www.gametruckparty.com,29,www.gametruckparty.com,22,0,com,100.0,1.0,0.5229071,0.056954977,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,425,735,1,gametruckparty,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,27,4,13,59,0,69,1
77,726495.txt,https://www.the-brook.com,24,www.the-brook.com,17,0,com,100.0,0.666666667,0.5229071,0.064929526,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,3057,9381,1,the-brook,100.0,100.0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,36,27,39,153,0,182,1
78,27373.txt,https://www.joomlart.com,23,www.joomlart.com,16,0,com,100.0,1.0,0.5229071,0.068893429,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1759,610,1,joomlart,100.0,100.0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,1,28,19,30,119,26,55,1
79,590499.txt,https://www.woodenaward.com,26,www.woodenaward.com,19,0,com,100.0,1.0,0.5229071,0.06417662,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,709,1447,1,woodenaward,100.0,100.0,1,0,1,1,0,1,0,3,0,1,1,1,0,0,1,0,0,24,4,8,39,0,28,1
80,mw159109.txt,http://www.hotpopups.com,23,www.hotpopups.com,17,0,com,70.7523246,1.0,0.5229071,0.056475831,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,2826,1,hotpopups,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
81,8114355.txt,http://amarilogroup.com/,24,amarilogroup.com,16,0,com,80.56066176,1.0,0.5229071,0.065459533,3,0,0,0,0.0,15,0.625,0,0.0,0,0,0,2,0.083,0,54,144,1,amarilogroup,100.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
82,126604.txt,https://www.efghermes.com,24,www.efghermes.com,17,0,com,100.0,1.0,0.5229071,0.062737992,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,791,849,1,efghermes,100.0,100.0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,21,5,11,63,2,32,1
83,863507.txt,https://www.allenedc.com,23,www.allenedc.com,16,0,com,100.0,1.0,0.5229071,0.068211311,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,2440,1445,1,allenedc,100.0,100.0,1,0,1,0,0,1,0,3,0,1,0,1,0,0,0,0,1,24,12,24,56,0,81,1
84,18536.txt,https://www.nextag.com,21,www.nextag.com,14,0,com,100.0,1.0,0.5229071,0.061353208,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,369,235,1,nextag,100.0,100.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,4,5,1,0,5,1
85,568888.txt,https://www.cocooncarpets.com,28,www.cocooncarpets.com,21,0,com,100.0,1.0,0.5229071,0.075147326,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,3098,7768,1,oncarpets,69.23076923,69.23076923,1,0,1,1,1,1,0,21,0,1,1,1,1,1,1,0,1,103,5,21,237,2,42,1
86,621165.txt,https://www.wndesherbinin.com,28,www.wndesherbinin.com,21,0,com,100.0,1.0,0.5229071,0.057263391,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,484,2209,1,wndesherbinin,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,9,12,8,1,0,34,1
87,40432.txt,https://www.diffordsguide.com,28,www.diffordsguide.com,21,0,com,100.0,1.0,0.5229071,0.052765038,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1502,12142,1,diffordsguide,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,72,3,4,80,0,14,1
88,451231.txt,https://www.gelest.com,21,www.gelest.com,14,0,com,100.0,1.0,0.5229071,0.067011918,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,3414,51315,1,gelest,100.0,100.0,1,1,1,0,0,1,0,4,0,1,1,1,0,0,1,1,1,22,19,41,271,30,407,1
89,248694.txt,https://www.booksmartapp.com,27,www.booksmartapp.com,20,0,com,100.0,1.0,0.5229071,0.061872594,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,561,257,1,booksmartapp,100.0,100.0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,25,11,13,2,0,11,1
90,134231.txt,https://www.blairdrummond.com,28,www.blairdrummond.com,21,0,com,100.0,1.0,0.5229071,0.059029836,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,827,9381,1,blairdrummond,100.0,100.0,1,1,1,0,0,1,0,5,0,1,1,1,0,0,0,0,1,26,3,13,45,3,58,1
91,mw179803.txt,http://www.macau2018.com,23,www.macau2018.com,17,0,com,66.23931624,1.0,0.5229071,0.046491374,3,1,0,0,0.0,7,0.304,4,0.174,0,0,0,1,0.043,0,2,33,0,0,11.11111111,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,884326.txt,https://www.bigjimny.com,23,www.bigjimny.com,16,0,com,100.0,1.0,0.5229071,0.049135656,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1674,2588,1,bigjimny,100.0,100.0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,57,12,12,105,0,21,1
93,610672.txt,https://www.thefixturegallery.com,32,www.thefixturegallery.com,25,0,com,100.0,1.0,0.5229071,0.053928981,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1720,20570,1,thefixturegallery,100.0,100.0,1,1,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,37,20,35,146,1,12,1
94,439828.txt,https://www.lindeus.com,22,www.lindeus.com,15,0,com,100.0,1.0,0.5229071,0.060678483,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,862,540,1,lindeus,100.0,100.0,1,1,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,36,3,5,90,0,84,1
95,152406.txt,https://www.wxow.com,19,www.wxow.com,12,0,com,100.0,1.0,0.5229071,0.050505167,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,5282,43358,1,wxow,100.0,100.0,0,0,1,0,0,1,0,3,0,1,1,1,0,0,1,0,1,108,21,49,263,0,69,1
96,467356.txt,https://www.himalayan-imports.com,32,www.himalayan-imports.com,25,0,com,100.0,0.588235294,0.5229071,0.061540846,3,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,501,277,1,himalayan-imports,100.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,1,3,0,22,1
97,54008.txt,https://www.amilia.com,21,www.amilia.com,14,0,com,100.0,1.0,0.5229071,0.071174593,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1628,2768,1,amilia,100.0,100.0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,1,0,1,28,1,18,132,2,142,1
98,402026.txt,https://www.jackmail.com,23,www.jackmail.com,16,0,com,100.0,1.0,0.5229071,0.060060457,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,967,1927,1,jackmail,100.0,100.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,48,7,15,42,1,55,1
99,oph11476.txt,http://www.a04320.com/,22,www.a04320.com,14,0,com,77.81818182,1.0,0.5229071,0.036212058,3,1,0,0,0.0,4,0.182,5,0.227,0,0,0,2,0.091,0,4,62,0,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
